WKT,id,typ,ranking
"MULTIPOLYGON (((22.5003366053032 53.0122198978289,22.5010777134781 53.0125459854259,22.5018929324706 53.0120864983574,22.5010925356416 53.010055861958,22.5003958939572 53.0093592202735,22.4996992522727 53.0097445965245,22.5006330485732 53.011093413403,22.5003366053032 53.0122198978289)))","0","0","0.80"
"MULTIPOLYGON (((22.5179469101329 53.0215026661199,22.5185489819176 53.0212682685509,22.5191555240762 53.0209243997637,22.518793914898 53.0204748981426,22.5176112070247 53.0210585050845,22.5179469101329 53.0215026661199)))","1","3","0.80"
"MULTIPOLYGON (((22.5237235859247 53.0257221959561,22.5248598118292 53.0249216731598,22.5243175221929 53.0242451022803,22.5242307638549 53.023815274247,22.5232329429205 53.0241314796898,22.5227268059266 53.0246892633157,22.5237235859247 53.0257221959561)))","2","3","0.90"
"MULTIPOLYGON (((22.5228592992493 53.0244030447922,22.5234860114174 53.0239455518146,22.5227474645794 53.0235891900536,22.5226658773407 53.0231088181491,22.5207823102309 53.0222876949266,22.5197493775905 53.0216989233215,22.5202451852579 53.0216188710419,22.5191864293014 53.0209087298516,22.5189649155744 53.0210324620203,22.5184809213252 53.0212947657856,22.5192151218689 53.0220911473143,22.5201341449991 53.0225407634235,22.5214769574317 53.0234497441471,22.5228592992493 53.0244030447922)))","3","0","0.85"
"MULTIPOLYGON (((22.5299458894317 53.0103534150866,22.5307681865327 53.0101765597171,22.5320386936804 53.009432848216,22.5334331527451 53.0083276102907,22.5336500685996 53.0077801559912,22.5326171359591 53.007800814644,22.5312840103978 53.0087291635858,22.5303435775254 53.0092777494281,22.5293759620266 53.0098449723067,22.5299458894317 53.0103534150866)))","4","0","0.60"
"MULTIPOLYGON (((22.5136508940406 53.0173497982493,22.5166706294795 53.0170074566392,22.5189384204949 53.0165776138977,22.5182417788104 53.0159847273578,22.516359364046 53.0159254387038,22.515114302312 53.0158957943768,22.5127888305742 53.0161350724559,22.5136508940406 53.0173497982493)))","6","0","0.55"
"MULTIPOLYGON (((22.504575744064 53.0164590365897,22.5062951150299 53.0165627917342,22.5080293081593 53.0166220803882,22.5096893904713 53.0164590365897,22.5112214424536 53.0154297478016,22.5105342537907 53.0150657532208,22.5094967023458 53.0150805753843,22.5078123732912 53.0153513783955,22.5055396605163 53.0149987160684,22.504873520565 53.0148419772563,22.504575744064 53.0164590365897)))","7","0","0.80"
"MULTIPOLYGON (((22.5589769409764 53.0111177765915,22.5595261425089 53.0111479449653,22.5593081153887 53.008002236509,22.5590137295862 53.008002236509,22.5586741178059 53.0085724247738,22.5589769409764 53.0111177765915)))","8","0","0.50"
"MULTIPOLYGON (((22.5598136907402 53.0037462732091,22.560922481118 53.0040449270575,22.5611932174576 53.0034934855333,22.5601757788067 53.0031681117516,22.5598136907402 53.0037462732091)))","9","3","0.95"
"MULTIPOLYGON (((22.5540143356064 53.0124335175366,22.5552590194381 53.0125626341166,22.5561271121099 53.0113937233909,22.5555430759142 53.011219821684,22.5549388103196 53.0110803757775,22.5540143356064 53.0124335175366)))","10","1","0.75"
"MULTIPOLYGON (((22.5901608294791 53.0129401932545,22.5911069467255 53.0130945944265,22.5911410906921 53.0134404005335,22.5933863641998 53.0137357978678,22.5966692889944 53.0130945944265,22.5962871039175 53.0121752843765,22.5942935439214 53.0128673492456,22.5922056893245 53.0128055229329,22.590962313091 53.0126476338874,22.5901394343277 53.0124908950754,22.5901608294791 53.0129401932545)))","11","0","0.80"
"MULTIPOLYGON (((22.5982651699239 53.0282012342933,22.5998042395582 53.0281650816509,22.5998964253787 53.0274594516275,22.5996854523046 53.0272354422745,22.5990605280571 53.0272406069377,22.5985027444313 53.0272302776113,22.5982651699239 53.0282012342933)))","12","3","0.85"
"MULTIPOLYGON (((22.6053822838009 53.0196225110243,22.60551635706 53.0189513224979,22.6042871672179 53.018135305712,22.601942410124 53.0181662936912,22.6013019918869 53.0183832095457,22.6012964489228 53.0187858332811,22.6016205523114 53.019073925182,22.6026344749931 53.0194368008389,22.6053822838009 53.0196225110243)))","13","1","0.80"
"MULTIPOLYGON (((22.6424953455889 53.0000000017236,22.6430944465202 53.0015515721693,22.6437865113893 53.002770432685,22.644880464441 53.0039094451149,22.6458860575813 53.0036508640216,22.6447368094185 53.001417290926,22.6441067205079 53.0004050169384,22.6438224774595 53.0000301595163,22.6424953455889 53.0000000017236)))","14","0","0.70"
"MULTIPOLYGON (((22.6670171664734 53.0290172510793,22.6678125246066 53.0287900058984,22.6662424669931 53.0268274338815,22.6655194141447 53.0260320757483,22.6647240560116 53.0251127656983,22.6642768924338 53.0255785858827,22.6635981594335 53.0259494411371,22.6657260006728 53.027860366522,22.6670171664734 53.0290172510793)))","15","0","0.60"
"MULTIPOLYGON (((22.6494258899908 53.0133921432447,22.6501493764546 53.0137091893476,22.6513475783175 53.0131514057217,22.6525664388333 53.0118602399211,22.6533051755894 53.0096695964582,22.6526782203411 53.0086507941798,22.6517194340681 53.0109512591975,22.6508930879557 53.0109615885239,22.6505315615316 53.0124490115262,22.6494258899908 53.0133921432447)))","17","0","0.75"
"MULTIPOLYGON (((22.640791006732 53.02872802994,22.6422550893389 53.028870100936,22.6426861210721 53.0278512986576,22.642646936369 53.0268324963792,22.6421767199329 53.0260488023189,22.6410011788424 53.0253042929616,22.6404811269398 53.0261560276652,22.6412041797882 53.0267861165759,22.6412351677674 53.027426534813,22.6410905571977 53.0280462943972,22.640791006732 53.02872802994)))","18","1","0.95"
